Date,Price,Return
11/09/2022,"1.378,00","-0,04"
12/09/2022,"1.700,00","0,23"
01/10/2022,"2.740,00","0,61"
02/10/2022,"2.582,00","-0,06"
03/10/2022,"2.266,00","-0,12"
05/10/2022,"1.759,00","-0,22"
06/10/2022,"1.697,00","-0,04"
08/10/2022,"4.631.300,00","2728,11"
10/10/2022,"1.167,00","-1,00"
11/10/2022,"1.575,00","0,35"
01/11/2022,"2.782,00","0,77"
02/11/2022,"2.395,00","-0,14"
03/11/2022,"4.631.700,00","1932,90"
04/11/2022,"2.192,00","-1,00"
05/11/2022,"1.663,00","-0,24"
07/11/2022,"1.515,00","-0,09"
08/11/2022,"1.794,00","0,18"
10/11/2022,"1.159,00","-0,35"
11/11/2022,"1.633,00","0,41"
01/12/2022,"2.800,00","0,71"
04/12/2022,"2.150,00","-0,23"
05/12/2022,"1.618,00","-0,25"
07/12/2022,"4.624.900,00","2857,41"
08/12/2022,"1.871,00","-1,00"
09/12/2022,"1.451,00","-0,22"
10/12/2022,"1.150,00","-0,21"
12/12/2022,"1.753,00","0,52"
02/01/2023,"2.094,00","0,19"
03/01/2023,"2.270,00","0,08"
05/01/2023,"2.891,00","0,27"
06/01/2023,"3.977,00","0,38"
08/01/2023,"4.651,00","0,17"
09/01/2023,"4.851,00","0,04"
11/01/2023,"4.233,00","-0,13"
12/01/2023,"4.676,00","0,10"
02/02/2023,"2.171,00","-0,54"
03/02/2023,"2.331,00","0,07"
05/02/2023,"2.821,00","0,21"
06/02/2023,"3.933,00","0,39"
08/02/2023,"4.427,00","0,13"
10/02/2023,"4.478,00","0,01"
11/02/2023,"4.351,00","-0,03"
01/03/2023,"1.431,00","-0,67"
02/03/2023,"4.631.600,00","3235,62"
03/03/2023,"2.389,00","-1,00"
04/03/2023,"2.797,00","0,17"
05/03/2023,"2.780,00","-0,01"
07/03/2023,"4.241,00","0,53"
08/03/2023,"4.451,00","0,05"
10/03/2023,"4.352,00","-0,02"
11/03/2023,"4.501,00","0,03"
01/04/2023,"1.475,00","-0,67"
04/04/2023,"2.745,00","0,86"
05/04/2023,"2.756,00","0,00"
08/04/2023,"4.468,00","0,62"
10/04/2023,"4.404,00","-0,01"
12/04/2023,"4.551,00","0,03"
01/05/2023,"1.427,00","-0,69"
04/05/2023,"2.688,00","0,88"
05/05/2023,"2.868,00","0,07"
06/05/2023,"3.917,00","0,37"
07/05/2023,"4.232,00","0,08"
09/05/2023,"4.855,00","0,15"
10/05/2023,"4.469,00","-0,08"
12/05/2023,"4.657,00","0,04"
01/06/2023,"1.486,00","-0,68"
02/06/2023,"4.628.600,00","3113,80"
03/06/2023,"2.355,00","-1,00"
04/06/2023,"4.613.900,00","1958,19"
06/06/2023,"3.865,00","-1,00"
07/06/2023,"4.210,00","0,09"
09/06/2023,"4.706,00","0,12"
10/06/2023,"4.576,00","-0,03"
11/06/2023,"4.575,00","0,00"
12/06/2023,"4.550,00","-0,01"
02/07/2023,"2.217,00","-0,51"
03/07/2023,"2.329,00","0,05"
06/07/2023,"3.747,00","0,61"
07/07/2023,"4.250,00","0,13"
08/07/2023,"4.542,00","0,07"
09/07/2023,"4.624,00","0,02"
11/07/2023,"4.596,00","-0,01"
12/07/2023,"4.660,00","0,01"
02/08/2023,"2.220,00","-0,52"
03/08/2023,"2.418,00","0,09"
05/08/2023,"2.915,00","0,21"
06/08/2023,"3.851,00","0,32"
08/08/2023,"4.466,00","0,16"
09/08/2023,"4.557,00","0,02"
11/08/2023,"4.657,00","0,02"
12/08/2023,"4.751,00","0,02"
01/09/2023,"1.563,00","-0,67"
02/09/2023,"2.234,00","0,43"
03/09/2023,"2.344,00","0,05"
05/09/2023,"2.857,00","0,22"
06/09/2023,"3.877,00","0,36"
08/09/2023,"4.255,00","0,10"
10/09/2023,"4.527,00","0,06"
11/09/2023,"4.695,00","0,04"
01/10/2023,"1.591,00","-0,66"
02/10/2023,"2.126,00","0,34"
03/10/2023,"2.297,00","0,08"
04/10/2023,"2.758,00","0,20"
05/10/2023,"2.889,00","0,05"
07/10/2023,"4.218,00","0,46"
08/10/2023,"4.239,00","0,00"
10/10/2023,"4.580,00","0,08"
11/10/2023,"4.833,00","0,06"
01/11/2023,"1.600,00","-0,67"
04/11/2023,"2.717,00","0,70"
05/11/2023,"2.858,00","0,05"
07/11/2023,"4.240,00","0,48"
08/11/2023,"4.085,00","-0,04"
09/11/2023,"4.518,00","0,11"
10/11/2023,"4.681,00","0,04"
12/11/2023,"4.663,00","0,00"
01/12/2023,"1.651,00","-0,65"
04/12/2023,"2.650,00","0,61"
05/12/2023,"2.834,00","0,07"
06/12/2023,"3.948,00","0,39"
07/12/2023,"4.390,00","0,11"
09/12/2023,"4.487,00","0,02"
10/12/2023,"4.694,00","0,05"
12/12/2023,"4.766,00","0,02"
02/01/2024,"6.303,00","0,32"
03/01/2024,"8.228,00","0,31"
04/01/2024,"9.036,00","0,10"
05/01/2024,"8.304,00","-0,08"
07/01/2024,"12.430,00","0,50"
08/01/2024,"10.921,00","-0,12"
10/01/2024,"11.700,00","0,07"
11/01/2024,"13.540,00","0,16"
01/02/2024,"4.817,00","-0,64"
02/02/2024,"6.616,00","0,37"
04/02/2024,"8.945,00","0,35"
05/02/2024,"8.582,00","-0,04"
07/02/2024,"12.267,00","0,43"
08/02/2024,"10.727,00","-0,13"
10/02/2024,"11.885,00","0,11"
12/02/2024,"13.863,00","0,17"
01/03/2024,"4.757,00","-0,66"
04/03/2024,"8.896,00","0,87"
05/03/2024,"8.879,00","0,00"
06/03/2024,"11.500,00","0,30"
07/03/2024,"12.828,00","0,12"
09/03/2024,"10.800,00","-0,16"
10/03/2024,"12.285,00","0,14"
12/03/2024,"14.026,00","0,14"
01/04/2024,"4.800,00","-0,66"
03/04/2024,"8.524,00","0,78"
04/04/2024,"8.590,00","0,01"
06/04/2024,"11.644,00","0,36"
09/04/2024,"10.621,00","-0,09"
10/04/2024,"12.492,00","0,18"
11/04/2024,"13.605,00","0,09"
12/04/2024,"14.514,00","0,07"
01/05/2024,"4.910,00","-0,66"
02/05/2024,"6.933,00","0,41"
03/05/2024,"8.596,00","0,24"
04/05/2024,"8.801,00","0,02"
06/05/2024,"12.244,00","0,39"
07/05/2024,"12.583,00","0,03"
08/05/2024,"10.045,00","-0,20"
09/05/2024,"10.721,00","0,07"
11/05/2024,"13.991,00","0,31"
12/05/2024,"14.506,00","0,04"
02/06/2024,"6.822,00","-0,53"
03/06/2024,"8.870,00","0,30"
05/06/2024,"9.214,00","0,04"
06/06/2024,"12.100,00","0,31"
08/06/2024,"10.425,00","-0,14"
09/06/2024,"10.283,00","-0,01"
11/06/2024,"14.561,00","0,42"
12/06/2024,"14.244,00","-0,02"
02/07/2024,"7.010,00","-0,51"
03/07/2024,"9.267,00","0,32"
05/07/2024,"9.055,00","-0,02"
06/07/2024,"12.089,00","0,34"
08/07/2024,"9.891,00","-0,18"
10/07/2024,"12.772,00","0,29"
11/07/2024,"14.888,00","0,17"
01/08/2024,"5.225,00","-0,65"
02/08/2024,"6.964,00","0,33"
03/08/2024,"8.753,00","0,26"
04/08/2024,"8.713,00","0,00"
05/08/2024,"9.041,00","0,04"
07/08/2024,"12.820,00","0,42"
08/08/2024,"10.497,00","-0,18"
10/08/2024,"13.289,00","0,27"
11/08/2024,"14.763,00","0,11"
01/09/2024,"5.314,00","-0,64"
02/09/2024,"7.213,00","0,36"
04/09/2024,"8.535,00","0,18"
05/09/2024,"8.875,00","0,04"
07/09/2024,"13.138,00","0,48"
08/09/2024,"10.475,00","-0,20"
09/09/2024,"10.647,00","0,02"
10/09/2024,"13.265,00","0,25"
12/09/2024,"13.881,00","0,05"
01/10/2024,"5.435,00","-0,61"
04/10/2024,"8.704,00","0,60"
